"stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","interval","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","ty_code","num_assess"
"HMACKIIa-IVa-Vb-VIa-VII-VIII",5,"Europe (EU)",7,"HMACKIIa-IVa-Vb-VIa-VII-VIII_7",48,3,1,2013,NA,1190000,965000,0.138655462184874,0.166839378238342,911587,634577,0.108,0.13,1.19571692005261,1.21655843183727,1.13888888888889,1.34615384615385,113279.305308595,109417.605837069,1190000,0.138655462184874,911587,0.108,1.19571692005261,1.13888888888889,113279.305308595,2,5
"HMACKIIa-IVa-Vb-VIa-VII-VIII",5,"Europe (EU)",8,"HMACKIIa-IVa-Vb-VIa-VII-VIII_8",49,1,1,2014,NA,931000,1140000,0.146079484425349,0.113157894736842,634577,634577,0.13,0.13,1.04479046672035,1.32056472264201,1.06923076923077,0.953846153846154,105562.477755763,129260.176843791,1080000,0.125925925925926,911587,0.108,1.05201149204629,1.0462962962963,102808.109019566,3,5
"HMACKIIa-IVa-Vb-VIa-VII-VIII",5,"Europe (EU)",9,"HMACKIIa-IVa-Vb-VIa-VII-VIII_9",50,2,1,2014,NA,1080000,1140000,0.125925925925926,0.113157894736842,911587,634577,0.108,0.13,1.05201149204629,1.32056472264201,1.0462962962963,0.953846153846154,102808.109019566,129260.176843791,1080000,0.125925925925926,911587,0.108,1.05201149204629,1.0462962962963,102808.109019566,3,5
"HMACKIIa-IVa-Vb-VIa-VII-VIII",5,"Europe (EU)",10,"HMACKIIa-IVa-Vb-VIa-VII-VIII_10",42,1,1,2015,NA,1000000,774000,0.0984,0.127131782945736,911587,634577,0.108,0.13,0.928051848040834,0.852536414020678,0.807407407407407,0.969230769230769,95192.6935366348,87760.8569097318,1000000,0.0984,911587,0.108,0.928051848040834,0.807407407407407,95192.6935366348,4,5
"HERRNORSS",4,"Europe (non-EU)",5,"HERRNORSS_5",36,1,1,2013,NA,6060000,5600000,0.113036303630363,0.122321428571429,5000000,5000000,0.15,0.15,1,0.946,0.92,0.98,844109.66286415,780035.332019676,6350000,0.107874015748032,5000000,0.15,1.004,0.873333333333333,884504.349700883,2,5
"HERRNORSS",4,"Europe (non-EU)",6,"HERRNORSS_6",37,2,1,2013,NA,7180000,5600000,0.0954038997214485,0.122321428571429,5000000,5000000,0.15,0.15,1.114,0.946,0.786666666666667,0.98,1000116.72926808,780035.332019676,6350000,0.107874015748032,5000000,0.15,1.004,0.873333333333333,884504.349700883,2,5
"HERRNORSS",4,"Europe (non-EU)",7,"HERRNORSS_7",38,3,1,2013,NA,6350000,5600000,0.107874015748032,0.122321428571429,5000000,5000000,0.15,0.15,1.004,0.946,0.873333333333333,0.98,884504.349700883,780035.332019676,6350000,0.107874015748032,5000000,0.15,1.004,0.873333333333333,884504.349700883,2,5
"HERRNORSS",4,"Europe (non-EU)",8,"HERRNORSS_8",39,1,1,2014,NA,6800000,5620000,0.0677941176470588,0.0820284697508897,5000000,5000000,0.15,0.15,1.1,0.892,0.52,0.733333333333333,947185.760309607,782821.172491175,5920000,0.0778716216216216,5000000,0.15,0.964,0.606666666666667,824608.779563658,3,5
"HERRNORSS",4,"Europe (non-EU)",9,"HERRNORSS_9",40,2,1,2014,NA,5920000,5620000,0.0778716216216216,0.0820284697508897,5000000,5000000,0.15,0.15,0.964,0.892,0.606666666666667,0.733333333333333,824608.779563658,782821.172491175,5920000,0.0778716216216216,5000000,0.15,0.964,0.606666666666667,824608.779563658,3,5
"HERRNORSS",4,"Europe (non-EU)",10,"HERRNORSS_10",32,1,1,2015,NA,5760000,6680000,0.0571180555555556,0.049251497005988,5000000,5000000,0.15,0.15,0.906,1.052,0.473333333333333,0.4,802322.055791667,930470.717480614,5760000,0.0571180555555556,5000000,0.15,0.906,0.473333333333333,802322.055791667,4,5
"HERRVIaVIIbc",11,"Europe (EU)",1,"HERRVIaVIIbc_1",151,2,1,2010,NA,20700,23500,0.137837837837838,0.189,110000,NA,0.25,0.25,0.188181818181818,NA,2.168,2.188,4578.82379042192,5198.18159782199,341000,0.04770206022187,410000,0.16,0.831707317073171,0.625,50418.9679625219,1,6
"HERRVIaVIIbc",11,"Europe (EU)",2,"HERRVIaVIIbc_2",158,4,1,2010,NA,373000,23500,0.043371757925072,0.189,410000,NA,0.16,0.25,0.909756097560976,NA,0.5625,2.188,55150.3667156032,5198.18159782199,341000,0.04770206022187,410000,0.16,0.831707317073171,0.625,50418.9679625219,1,6
"HERRVIaVIIbc",11,"Europe (EU)",3,"HERRVIaVIIbc_3",159,5,1,2010,NA,402000,23500,0.039920424403183,0.189,410000,NA,0.16,0.25,0.980487804878049,NA,0.523125,2.188,59438.196835583,5198.18159782199,341000,0.04770206022187,410000,0.16,0.831707317073171,0.625,50418.9679625219,1,6
"HERRVIaVIIbc",11,"Europe (EU)",4,"HERRVIaVIIbc_4",160,6,2,2010,NA,380000,23500,0.0416309012875536,0.189,410000,NA,0.16,0.25,0.926829268292683,NA,0.55875,2.188,56185.3601928397,5198.18159782199,341000,0.04770206022187,410000,0.16,0.831707317073171,0.625,50418.9679625219,1,6
"HERRVIaVIIbc",11,"Europe (EU)",5,"HERRVIaVIIbc_5",161,7,2,2010,NA,341000,23500,0.04770206022187,0.189,410000,NA,0.16,0.25,0.831707317073171,NA,0.625,2.188,50418.9679625219,5198.18159782199,341000,0.04770206022187,410000,0.16,0.831707317073171,0.625,50418.9679625219,1,6
"WHITVIa",16,"Europe (EU)",1,"WHITVIa_1",226,1,1,2011,NA,9010,9320,0.076,0.0698,22000,22000,0.6,0.6,0.409545454545455,0.423636363636364,0.126666666666667,0.116333333333333,4065.20715879282,4205.07555160367,5680,0.144,44600,0.18,0.127354260089686,0.8,935.665199183975,1,6
"WHITVIa",16,"Europe (EU)",2,"WHITVIa_2",233,2,1,2011,NA,9150,9320,0.0813,0.0698,22000,22000,0.6,0.6,0.415909090909091,0.423636363636364,0.1355,0.116333333333333,4128.37352973966,4205.07555160367,5680,0.144,44600,0.18,0.127354260089686,0.8,935.665199183975,1,6
"WHITVIa",16,"Europe (EU)",3,"WHITVIa_3",234,3,1,2011,NA,10700,9320,0.073,0.0698,39900,22000,NA,0.6,0.268170426065163,0.423636363636364,NA,0.116333333333333,NA,4205.07555160367,5680,0.144,44600,0.18,0.127354260089686,0.8,935.665199183975,1,6
"WHITVIa",16,"Europe (EU)",4,"WHITVIa_4",235,4,1,2011,NA,6240,9320,0.132,0.0698,44600,22000,0.18,0.6,0.139910313901345,0.423636363636364,0.733333333333333,0.116333333333333,1027.91388079366,4205.07555160367,5680,0.144,44600,0.18,0.127354260089686,0.8,935.665199183975,1,6
"WHITVIa",16,"Europe (EU)",5,"WHITVIa_5",236,5,1,2011,NA,5680,9320,0.144,0.0698,44600,22000,0.18,0.6,0.127354260089686,0.423636363636364,0.8,0.116333333333333,935.665199183975,4205.07555160367,5680,0.144,44600,0.18,0.127354260089686,0.8,935.665199183975,1,6
"WHITVIIek",17,"Europe (EU)",1,"WHITVIIek_1",241,1,1,2011,NA,53800,64600,0.329,0.242,21000,21000,0.36,0.36,2.56190476190476,3.07619047619048,0.913888888888889,0.672222222222222,14830.0408060288,17807.0750198785,78700,0.257,35000,0.52,2.24857142857143,0.494230769230769,31911.2328747457,1,6
"WHITVIIek",17,"Europe (EU)",2,"WHITVIIek_2",248,2,1,2011,NA,70400,64600,0.289,0.242,40000,21000,0.32,0.36,1.76,3.07619047619048,0.903125,0.672222222222222,17566.6174910143,17807.0750198785,78700,0.257,35000,0.52,2.24857142857143,0.494230769230769,31911.2328747457,1,6
"WHITVIIek",17,"Europe (EU)",3,"WHITVIIek_3",249,3,1,2011,NA,74700,64600,0.272,0.242,40000,21000,0.32,0.36,1.8675,3.07619047619048,0.85,0.672222222222222,18639.5785025394,17807.0750198785,78700,0.257,35000,0.52,2.24857142857143,0.494230769230769,31911.2328747457,1,6
"WHITVIIek",17,"Europe (EU)",4,"WHITVIIek_4",250,4,1,2011,NA,77100,64600,0.262,0.242,35000,21000,0.52,0.36,2.20285714285714,3.07619047619048,0.503846153846154,0.672222222222222,28579.3452139622,17807.0750198785,78700,0.257,35000,0.52,2.24857142857143,0.494230769230769,31911.2328747457,1,6
"WHITVIIek",17,"Europe (EU)",5,"WHITVIIek_5",251,5,1,2011,NA,78700,64600,0.257,0.242,35000,21000,0.52,0.36,2.24857142857143,3.07619047619048,0.494230769230769,0.672222222222222,31911.2328747457,17807.0750198785,78700,0.257,35000,0.52,2.24857142857143,0.494230769230769,31911.2328747457,1,6
"POLLNEAR",13,"Europe (non-EU)",1,"POLLNEAR_1",181,2,1,2011,NA,271000,351000,0.41,0.351,220000,220000,0.32,0.35,1.23181818181818,1.59545454545455,1.28125,1.00285714285714,74213.6109530298,103654.480508732,292000,0.376,220000,0.32,1.32727272727273,1.175,79964.4811744823,1,6
"POLLNEAR",13,"Europe (non-EU)",2,"POLLNEAR_2",188,3,1,2011,NA,283000,351000,0.384,0.351,220000,220000,0.32,0.35,1.28636363636364,1.59545454545455,1.2,1.00285714285714,77499.8225081455,103654.480508732,292000,0.376,220000,0.32,1.32727272727273,1.175,79964.4811744823,1,6
"POLLNEAR",13,"Europe (non-EU)",3,"POLLNEAR_3",189,4,1,2011,NA,284000,351000,0.382,0.351,220000,220000,0.32,0.35,1.29090909090909,1.59545454545455,1.19375,1.00285714285714,77773.6734710718,103654.480508732,292000,0.376,220000,0.32,1.32727272727273,1.175,79964.4811744823,1,6
