"stockid","mgmt","area","primary_country"
"PANDALSFA2-3","DFO","Shrimp Fishing Areas 2-3","Canada"
"PATGRENADIERCH","SUBPESCA","Central-Southern Chile","Chile"
"PATGRENADIERSARG","CFP","Southern Argentina","Argentina"
"PAUANPAU5A","MFish","NZ Area North PAUA 5A","New Zealand"
"PAUAPAU5B","MFish","New Zealand Area PAU 5B (Stewart Island)","New Zealand"
"PAUAPAU5D","MFish","New Zealand Area PAU 5D (Otago)","New Zealand"
"PAUAPAU7","MFish","New Zealand Area PAU 7 (Marlborough)","New Zealand"
"PAUASPAU5A","MFish","NZ Area South PAUA 5A","New Zealand"
"PCODGA","NMFS","Gulf of Alaska","USA"
"PCODHS","DFO","Hecate Strait","Canada"
"PERCHEBSAI","NMFS","Eastern Bering Sea and Aleutian Islands","USA"
"PHAKEPCOAST","NMFS","Pacific Coast","USA"
"PILCHPJPN","FAJ","Pacific Coast of Japan","Japan"
"PILCHTSST","FAJ","Tsushima Strait","Japan"
"PINKSHRIMPGM","NMFS","Gulf of Mexico","USA"
"PLAIC2123","ICES","Subdivisions 21-23","Denmark"
"PLAIC2432","ICES","Subdivisions 24-32","Denmark"
"PLAIC7d","ICES","Eastern English Channel","France"
"PLAICCELT","ICES","Celtic Sea","Belgium"
"PLAICECHW","ICES","Western English Channel","Great Britain"
"PLAICIS","ICES","Irish Sea","Great Britain"
"PLAICNS","ICES","North Sea","Netherlands"
"PLAICVIIbc","ICES","ICES 7bc","Ireland"
"PLAICVIIh-k","ICES","ICES 7h-k","France"
"PLAICVIII-IXa","ICES","ICES 8-9a","France"
"POLL5YZ","NMFS","Gulf of Maine / Georges Bank","USA"
"POLLFAPL","ICES","Faroe Plateau","Faroe Islands"
"POLLIEG","ICES","Iceland Grounds","Iceland"
"POLLNEAR","ICES","North-East Arctic","Norway"
"POLLNS-VI-IIIa","ICES","ICES 3a-4-6","Iceland"
"POPERCHGA","NMFS","Gulf of Alaska","USA"
