"stockid","region","council","mgmt","area","primary_country"
"SBWHITACIR","New Zealand","New Zealand","MFish","Campbell Island Rise","New Zealand"
"SBWHITARGS","South America","South America","CFP","Southern Argentina","Argentina"
"SBWHITCH","South America","South America","SUBPESCA","Central-Southern Chile","Chile"
"SCALLGB","Canada East Coast","Canada East Coast","DFO","Georges Bank","Canada"
"SCMPBP","New Zealand","New Zealand","MFish","Bay of Plenty","New Zealand"
"SCMPWHB","New Zealand","New Zealand","MFish","Wairarapa/Hawke Bay","New Zealand"
"SCUPNWATLC","US East Coast","MAFMC","NMFS","Northwestern Atlantic Coast","USA"
"SDOGATLC","US East Coast","MAFMC","NMFS","Atlantic Coast","USA"
"SEELNSSA1","Europe (EU)","Europe (EU)","ICES","Sandeel Area 1","Denmark"
"SEELNSSA2","Europe (EU)","Europe (EU)","ICES","Sandeel Area 2","Denmark"
"SEELNSSA3","Europe (EU)","Europe (EU)","ICES","Sandeel Area 3","Denmark"
"SEELNSSA4","Europe (EU)","Europe (EU)","ICES","Sandeel Area 4","Denmark"
"SFLOUNMATLC","US East Coast","MAFMC","NMFS","Mid-Atlantic Coast","USA"
"SILVERFISHSE","Australia","Australia","AFMA","Southeast Australia","Australia"
"SMOOTHOREOCR","New Zealand","New Zealand","MFish","Chatham Rise","New Zealand"
"SMULLMEDGSA9","Mediterranean-Black Sea","MBS","GFCM","Ligurian and North Tyrrhenian Sea","Italy"
"SNOWCRABBS","US Alaska","NPFMC","NMFS","Bering Sea","USA"
"SNOWCRABSGSL","Canada East Coast","Canada East Coast","DFO","Southern Gulf of St. Lawrence","Canada"
"SnowyGrouper","US South Atlantic","SAFMC",NA,NA,NA
"SOLECS","Europe (EU)","Europe (EU)","ICES","Celtic Sea","Belgium"
"SOLEIIIa-2224","Europe (EU)","Europe (EU)","ICES","ICES 22-24-3a","Denmark"
"SOLEIS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Belgium"
"SOLENS","Europe (EU)","Europe (EU)","ICES","North Sea","Netherlands"
